"Source","Target","Category","Size","DuplicateRenamed","Ext"
"C:\Users\DELL\.openclaw\workspace\AGENTS.md","D:\铁路线路智能检测机器人\01_会话与系统文档\AGENTS.md","01_会话与系统文档","2341","False",".md"
"C:\Users\DELL\.openclaw\workspace\BOOTSTRAP.md","D:\铁路线路智能检测机器人\01_会话与系统文档\BOOTSTRAP.md","01_会话与系统文档","1470","False",".md"
"C:\Users\DELL\.openclaw\workspace\cc1_manual.txt","D:\铁路线路智能检测机器人\01_会话与系统文档\cc1_manual.txt","01_会话与系统文档","57213","False",".txt"
"C:\Users\DELL\.openclaw\workspace\doc_content.txt","D:\铁路线路智能检测机器人\01_会话与系统文档\doc_content.txt","01_会话与系统文档","2568","False",".txt"
"C:\Users\DELL\.openclaw\workspace\extract.py","D:\铁路线路智能检测机器人\03_代码与脚本\extract.py","03_代码与脚本","1366","False",".py"
"C:\Users\DELL\.openclaw\workspace\extract_doc.py","D:\铁路线路智能检测机器人\03_代码与脚本\extract_doc.py","03_代码与脚本","597","False",".py"
"C:\Users\DELL\.openclaw\workspace\HEARTBEAT.md","D:\铁路线路智能检测机器人\01_会话与系统文档\HEARTBEAT.md","01_会话与系统文档","168","False",".md"
"C:\Users\DELL\.openclaw\workspace\IDENTITY.md","D:\铁路线路智能检测机器人\01_会话与系统文档\IDENTITY.md","01_会话与系统文档","374","False",".md"
"C:\Users\DELL\.openclaw\workspace\MEMORY.md","D:\铁路线路智能检测机器人\01_会话与系统文档\MEMORY.md","01_会话与系统文档","2627","False",".md"
"C:\Users\DELL\.openclaw\workspace\package-lock.json","D:\铁路线路智能检测机器人\01_会话与系统文档\package-lock.json","01_会话与系统文档","7911","False",".json"
"C:\Users\DELL\.openclaw\workspace\package.json","D:\铁路线路智能检测机器人\01_会话与系统文档\package.json","01_会话与系统文档","49","False",".json"
"C:\Users\DELL\.openclaw\workspace\SOUL.md","D:\铁路线路智能检测机器人\01_会话与系统文档\SOUL.md","01_会话与系统文档","446","False",".md"
"C:\Users\DELL\.openclaw\workspace\TOOLS.md","D:\铁路线路智能检测机器人\01_会话与系统文档\TOOLS.md","01_会话与系统文档","860","False",".md"
"C:\Users\DELL\.openclaw\workspace\USER.md","D:\铁路线路智能检测机器人\01_会话与系统文档\USER.md","01_会话与系统文档","340","False",".md"
"C:\Users\DELL\.openclaw\workspace\.openclaw\workspace-state.json","D:\铁路线路智能检测机器人\01_会话与系统文档\workspace-state.json","01_会话与系统文档","125","False",".json"
